Kernel Size,Pooling,Optimizer,Epochs,Validation Accuracy
3,max,SGD,5,0.7138
3,max,SGD,50,0.7242
3,max,SGD,100,0.72
3,max,RMSProp,5,0.4916
3,max,RMSProp,50,0.5948
3,max,RMSProp,100,0.592
3,max,Adam,5,0.7032
3,max,Adam,50,0.7272
3,max,Adam,100,0.723
3,avg,SGD,5,0.665
3,avg,SGD,50,0.7016
3,avg,SGD,100,0.7042
3,avg,RMSProp,5,0.5404
3,avg,RMSProp,50,0.621
3,avg,RMSProp,100,0.6022
3,avg,Adam,5,0.6896
3,avg,Adam,50,0.7016
3,avg,Adam,100,0.7072
5,max,SGD,5,0.7256
5,max,SGD,50,0.7382
5,max,SGD,100,0.7318
5,max,RMSProp,5,0.312
5,max,RMSProp,50,0.5198
5,max,RMSProp,100,0.4746
5,max,Adam,5,0.713
5,max,Adam,50,0.7312
5,max,Adam,100,0.7328
5,avg,SGD,5,0.6886
5,avg,SGD,50,0.7152
5,avg,SGD,100,0.7376
5,avg,RMSProp,5,0.3696
5,avg,RMSProp,50,0.5478
5,avg,RMSProp,100,0.515
5,avg,Adam,5,0.7012
5,avg,Adam,50,0.7164
5,avg,Adam,100,0.7162
7,max,SGD,5,0.7064
7,max,SGD,50,0.7294
7,max,SGD,100,0.722
7,max,RMSProp,5,0.214
7,max,RMSProp,50,0.2882
7,max,RMSProp,100,0.177
7,max,Adam,5,0.7122
7,max,Adam,50,0.7176
7,max,Adam,100,0.7142
7,avg,SGD,5,0.6936
7,avg,SGD,50,0.718
7,avg,SGD,100,0.7092
7,avg,RMSProp,5,0.2832
7,avg,RMSProp,50,0.105
7,avg,RMSProp,100,0.5082
7,avg,Adam,5,0.6868
7,avg,Adam,50,0.702
7,avg,Adam,100,0.6992
